"epp"|"school_year"|"BEP"|"post"|"alt"|"post_bac"|"trad"|"alt_bl"|"post_bac_bl"|"trad_bl"|"bl"|"trad_bl_prop"|"alt_ela"|"alt_g"|"alt_m"|"alt_sci"|"alt_ss"|"alt_tot"|"alt_cte"|"alt_fa"|"alt_hel"|"alt_sped"|"alt_loe"|"alt_cs"|"post_bac_fa"|"post_bac_g"|"post_bac_m"|"post_bac_sped"|"post_bac_tot"|"post_bac_ela"|"post_bac_hel"|"post_bac_loe"|"post_bac_ss"|"post_bac_sci"|"post_bac_cte"|"post_bac_cs"|"trad_ela"|"trad_fa"|"trad_g"|"trad_m"|"trad_sci"|"trad_ss"|"trad_sped"|"trad_tot"|"trad_cte"|"trad_loe"|"trad_hel"|"trad_cs"
"42"|"Stephen F Austin State University"|2021|"Non-BEP"|0|10|16|790|0|0|0|0|0|1|0|0|0|0|5|0|0|0|4|0|0|4|0|0|0|8|1|1|0|0|2|0|0|25|79|149|13|8|13|56|395|24|1|27|0
"43"|"Sul Ross State University - Alpine"|2021|"Non-BEP"|0|4|10|32|0|0|0|0|0|1|0|0|0|1|2|0|0|0|0|0|0|0|3|0|0|5|0|0|1|1|0|0|0|3|0|10|0|0|0|0|16|1|0|2|0
"44"|"Tarleton State University"|2021|"Non-BEP"|0|42|0|686|1|0|119|120|0.173469387755102|5|8|3|1|1|21|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11|11|109|9|3|7|18|343|44|0|12|0
"45"|"TeacherBuilder.com"|2021|"Non-BEP"|0|468|0|0|26|0|0|26|NA|21|44|12|21|19|234|25|13|17|32|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"46"|"Teachers for the 21st Century"|2021|"Non-BEP"|0|24|0|0|1|0|0|1|NA|1|1|0|1|1|12|2|0|0|4|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"47"|"Teachworthy"|2021|"Non-BEP"|0|982|0|0|46|0|0|46|NA|49|120|28|36|33|491|39|31|15|76|14|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"48"|"Texas A&M International University"|2021|"Non-BEP"|0|12|0|126|0|0|0|0|0|0|1|1|0|2|6|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|3|8|23|6|4|3|3|63|0|1|12|0
"49"|"Texas A&M University - Commerce"|2021|"BEP"|0|38|2|546|2|0|36|38|0.0659340659340659|3|4|0|1|1|19|5|0|1|2|0|0|0|0|1|0|1|0|0|0|0|0|0|0|6|35|152|15|6|3|6|273|5|1|8|0
"50"|"Texas A&M University - Kingsville"|2021|"Non-BEP"|0|6|0|192|0|0|10|10|0.0520833333333333|1|0|0|0|0|3|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|21|38|5|1|1|3|96|7|1|5|0
"51"|"Texas A&M University - Texarkana"|2021|"Non-BEP"|0|8|0|38|0|0|0|0|0|1|2|0|0|0|4|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|14|0|0|0|0|19|0|0|2|0
"52"|"Texas Lutheran University"|2021|"Non-BEP"|0|10|0|32|2|0|3|5|0.09375|1|1|0|0|1|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|4|2|1|1|0|16|0|0|1|0
"53"|"Texas State University"|2021|"Non-BEP"|0|12|112|1526|2|17|214|233|0.140235910878113|0|2|0|0|1|6|1|0|0|0|0|0|2|19|2|5|56|1|0|0|7|2|1|0|37|106|263|18|12|20|38|763|18|1|36|0
"54"|"Texas Tech University"|2021|"BEP"|0|2|4|788|0|0|48|48|0.0609137055837563|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|2|0|0|0|0|0|2|0|17|36|196|32|14|10|27|394|14|0|0|0
"55"|"Texas Wesleyan University"|2021|"Non-BEP"|0|4|2|66|1|0|12|13|0.181818181818182|0|1|0|0|0|2|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|1|2|11|1|1|2|0|33|0|0|3|0
"56"|"Texas Womans University"|2021|"BEP"|0|6|62|378|0|4|40|44|0.105820105820106|0|0|0|1|0|3|0|2|0|0|0|0|2|13|1|2|31|4|0|0|3|1|1|0|6|21|88|9|1|0|15|189|3|0|6|0
"57"|"The Texas Institute for Teacher Educatio"|2021|"Non-BEP"|0|266|0|0|41|0|0|41|NA|3|57|6|5|2|133|0|0|0|19|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"58"|"TNTP Academy - Fort Worth"|2021|"Non-BEP"|0|34|0|0|0|0|0|0|NA|2|13|0|2|0|17|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"59"|"University of Dallas"|2021|"Non-BEP"|0|2|4|12|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|2|0|0|1|1|0|0|0|0|0|5|0|0|1|0|6|0|0|0|0
"60"|"University of Houston"|2021|"Non-BEP"|0|32|14|800|1|0|24|25|0.03|0|4|5|5|1|16|0|0|0|0|0|0|2|1|0|1|7|3|0|0|0|0|0|0|25|54|208|39|31|13|5|400|0|1|0|0
