"epp"|"school_year"|"BEP"|"post"|"alt"|"post_bac"|"trad"|"alt_bl"|"post_bac_bl"|"trad_bl"|"bl"|"trad_bl_prop"|"alt_ela"|"alt_g"|"alt_m"|"alt_sci"|"alt_ss"|"alt_tot"|"alt_cte"|"alt_fa"|"alt_hel"|"alt_sped"|"alt_loe"|"alt_cs"|"post_bac_fa"|"post_bac_g"|"post_bac_m"|"post_bac_sped"|"post_bac_tot"|"post_bac_ela"|"post_bac_hel"|"post_bac_loe"|"post_bac_ss"|"post_bac_sci"|"post_bac_cte"|"post_bac_cs"|"trad_ela"|"trad_fa"|"trad_g"|"trad_m"|"trad_sci"|"trad_ss"|"trad_sped"|"trad_tot"|"trad_cte"|"trad_loe"|"trad_hel"|"trad_cs"
"630"|"North American University"|2016|"Non-BEP"|0|28|0|4|0|0|0|0|0|1|0|9|2|0|14|0|0|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|0|2|0|0|0|0
"631"|"PASADENA ISD"|2016|"Non-BEP"|0|152|0|0|12|0|0|12|NA|2|41|2|5|2|76|3|1|1|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"632"|"Prairie View A&M University"|2016|"Non-BEP"|0|16|0|74|0|0|0|0|0|1|0|0|1|0|8|0|0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|3|20|2|0|2|5|37|0|0|1|0
"633"|"Quality ACT: Alternative Certified Tchrs"|2016|"Non-BEP"|0|288|0|0|40|0|0|40|NA|14|54|1|2|4|144|3|6|7|8|4|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"634"|"REG 01 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|162|0|0|12|0|0|12|NA|15|19|8|11|7|81|4|1|2|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"635"|"REG 02 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|66|0|0|5|0|0|5|NA|3|14|2|1|1|33|0|0|1|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"636"|"REG 04 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|1218|0|14|97|0|0|97|0|26|272|23|37|27|609|15|26|8|60|11|7|0|0|0|0|0|0|0|0|0|0|0|0|7|0|0|0|0|0|0|7|0|0|0|0
"637"|"REG 05 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|74|0|6|0|0|0|0|0|2|12|3|2|1|37|0|0|0|17|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|0|0|0|0|3|0|0|0|0
"638"|"REG 06 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|44|0|0|5|0|0|5|NA|0|7|0|3|2|22|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"639"|"REG 07 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|94|0|0|3|0|0|3|NA|3|19|1|4|6|47|2|2|3|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"640"|"REG 10 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|684|0|0|126|0|0|126|NA|15|83|14|13|10|342|27|17|7|18|5|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"641"|"REG 11 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|186|0|0|17|0|0|17|NA|8|37|3|9|5|93|2|1|1|7|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"642"|"REG 12 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|72|0|54|0|0|0|0|0|1|31|0|0|2|36|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|27|0|0|0|0|0|0|27|0|0|0|0
"643"|"REG 13 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|744|0|22|93|0|0|93|0|17|80|11|7|6|372|90|7|2|48|8|3|0|0|0|0|0|0|0|0|0|0|0|0|11|0|0|0|0|0|0|11|0|0|0|0
"644"|"REG 14 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|50|0|0|0|0|0|0|NA|0|19|1|1|0|25|0|0|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"645"|"REG 18 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|190|0|0|3|0|0|3|NA|6|54|7|3|4|95|2|0|5|10|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"646"|"REG 19 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|84|0|0|5|0|0|5|NA|4|11|5|3|1|42|3|3|2|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"647"|"REG 20 EDUCATION SERVICE CENTER"|2016|"Non-BEP"|0|304|0|0|11|0|0|11|NA|12|78|12|13|6|152|1|5|1|11|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"648"|"Relay Graduate School of Education ACP"|2016|"Non-BEP"|0|58|0|0|0|0|0|0|NA|2|27|0|0|0|29|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"649"|"Schreiner University"|2016|"Non-BEP"|0|4|6|26|0|0|0|0|0|1|0|0|0|1|2|0|0|0|0|0|0|0|1|0|0|3|1|1|0|0|0|0|0|0|1|10|0|0|1|0|13|0|0|1|0
"650"|"South Texas College"|2016|"Non-BEP"|0|30|0|0|5|0|0|5|NA|0|10|0|0|0|15|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"651"|"South Texas Transition to Teaching ACP"|2016|"Non-BEP"|0|304|0|0|27|0|0|27|NA|8|79|4|9|9|152|0|0|0|16|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"652"|"Southwestern Adventist University"|2016|"Non-BEP"|0|6|0|10|0|0|0|0|0|1|1|1|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|0|0|0|5|0|0|0|0
"653"|"Sul Ross State University - Rio Grande"|2016|"Non-BEP"|0|2|32|108|0|5|10|15|0.0925925925925926|1|0|0|0|0|1|0|0|0|0|0|0|0|7|1|0|16|1|0|0|2|0|0|0|2|0|37|2|0|3|0|54|0|0|0|0
"654"|"Tarleton State University"|2016|"Non-BEP"|0|82|0|702|12|0|122|134|0.173789173789174|3|17|2|4|2|41|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|8|112|18|1|7|16|351|44|2|13|0
"655"|"TeacherBuilder.com"|2016|"Non-BEP"|0|694|0|0|40|0|0|40|NA|36|98|11|25|16|347|38|10|26|30|11|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"656"|"Teachers for the 21st Century"|2016|"Non-BEP"|0|48|0|0|1|0|0|1|NA|1|10|1|2|1|24|1|1|0|5|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"657"|"Teachworthy"|2016|"Non-BEP"|0|706|0|0|29|0|0|29|NA|22|124|18|21|17|353|32|10|8|57|5|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"658"|"Texas A&M International University"|2016|"Non-BEP"|0|50|0|166|1|0|1|2|0.00602409638554217|6|5|3|2|2|25|1|1|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|12|5|36|6|0|2|11|83|0|3|7|0
"659"|"Texas A&M University"|2016|"Non-BEP"|0|36|88|1630|0|1|252|253|0.154601226993865|0|0|2|6|9|18|1|0|0|0|0|0|1|0|5|0|44|17|0|3|12|5|0|0|88|0|249|95|7|2|46|815|41|0|35|0
"660"|"Texas A&M University - Commerce"|2016|"BEP"|0|150|34|800|2|0|70|72|0.0875|5|34|3|4|3|75|13|0|2|8|0|1|0|7|3|0|17|4|0|0|2|0|1|0|10|24|208|22|13|6|19|400|10|2|16|0
"661"|"Texas A&M University - Kingsville"|2016|"Non-BEP"|0|26|8|350|1|2|18|21|0.0514285714285714|3|3|1|0|1|13|0|1|0|2|1|0|0|0|0|0|4|0|0|0|0|0|2|0|3|17|105|3|1|2|0|175|9|0|15|2
"662"|"Texas A&M University - San Antonio"|2016|"Non-BEP"|0|76|0|420|5|0|16|21|0.0380952380952381|0|21|0|0|2|38|0|0|0|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|0|137|7|2|9|25|210|0|0|6|0
"663"|"Texas A&M University - Texarkana"|2016|"Non-BEP"|0|40|0|108|0|0|2|2|0.0185185185185185|3|10|1|1|1|20|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|39|2|3|3|4|54|0|0|0|0
"664"|"Texas Alternative Cert Pgm @ Austin"|2016|"Non-BEP"|0|18|0|0|0|0|0|0|NA|0|4|0|0|0|9|2|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"665"|"Texas Alternative Cert Pgm @ Brownsville"|2016|"Non-BEP"|0|298|0|0|8|0|0|8|NA|13|44|4|5|5|149|21|5|8|31|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"666"|"Texas Alternative Cert Pgm @ Houston"|2016|"Non-BEP"|0|10|0|0|1|0|0|1|NA|1|2|0|0|0|5|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"667"|"The Texas Institute for Teacher Educatio"|2016|"Non-BEP"|0|278|0|0|19|0|0|19|NA|15|67|6|11|0|139|0|0|0|21|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"668"|"Training via E-Learning: An Alt Crt Hybr"|2016|"Non-BEP"|0|64|0|0|0|0|0|0|NA|1|17|0|4|3|32|0|1|1|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"669"|"University of North Texas"|2016|"BEP"|0|44|190|1390|0|22|182|204|0.130935251798561|0|4|0|0|0|22|13|0|0|5|0|0|3|22|5|0|95|8|3|1|16|9|5|1|34|99|208|34|20|41|44|695|15|8|10|0
"670"|"University of North Texas - Dallas"|2016|"BEP"|1|4|22|188|0|3|20|23|0.106382978723404|0|0|0|0|0|2|0|0|0|2|0|0|0|4|0|1|11|0|0|0|0|3|0|0|0|0|55|4|2|1|12|94|0|0|0|0
"671"|"University of Texas - El Paso"|2016|"Non-BEP"|0|112|0|660|9|0|50|59|0.0757575757575758|5|21|2|6|2|56|0|1|1|9|0|0|0|0|0|0|0|0|0|0|0|0|0|0|23|30|118|36|9|13|30|330|0|4|17|0
"672"|"Weatherford College"|2016|"Non-BEP"|0|54|0|0|1|0|0|1|NA|11|1|2|2|2|27|2|0|0|2|0|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"673"|"Web-Centric Alternative Cert Program"|2016|"Non-BEP"|0|1222|0|0|76|0|0|76|NA|35|279|23|40|34|611|5|15|33|55|10|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"674"|"West Texas A&M University"|2016|"Non-BEP"|0|226|14|256|3|0|0|3|0|9|64|6|5|9|113|6|3|1|2|4|1|0|7|0|0|7|0|0|0|0|0|0|0|2|27|62|4|5|3|8|128|6|0|11|0
"675"|"Western Governors University"|2016|"Non-BEP"|0|8|0|0|0|0|0|0|NA|0|1|1|1|1|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"676"|"YES PREP PUBLIC SCHOOLS INC"|2016|"Non-BEP"|0|560|0|0|44|0|0|44|NA|36|112|17|21|8|280|0|10|5|9|13|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"677"|"Abilene Christian University"|2016|"Non-BEP"|0|0|14|120|0|0|10|10|0.0833333333333333|0|0|0|0|0|0|0|0|0|0|0|0|0|3|2|0|7|0|0|0|0|2|0|0|4|12|22|3|1|6|1|60|0|0|0|1
"678"|"Angelo State University"|2016|"Non-BEP"|0|0|60|218|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|2|14|0|1|30|6|0|0|1|5|0|0|5|2|68|3|3|6|21|109|1|0|0|0
"679"|"Austin College"|2016|"Non-BEP"|0|0|28|0|0|0|0|0|NA|0|0|0|0|0|0|0|0|0|0|0|0|2|4|2|0|14|2|0|0|3|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"680"|"Baylor University"|2016|"Non-BEP"|0|0|14|380|0|0|62|62|0.163157894736842|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|0|7|0|0|0|0|0|10|24|66|9|3|3|9|190|0|2|2|0
"681"|"Concordia University"|2016|"Non-BEP"|0|0|8|52|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|4|0|1|0|1|0|0|0|3|0|18|0|4|0|0|26|0|0|1|0
"682"|"Dallas Baptist University"|2016|"Non-BEP"|0|0|24|52|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7|0|0|12|2|0|0|1|2|0|0|1|5|17|2|1|0|0|26|0|0|0|0
"683"|"East Texas Baptist University"|2016|"Non-BEP"|0|0|6|80|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|0|3|0|0|0|1|0|0|0|6|4|17|4|0|2|0|40|0|0|7|0
"684"|"Hardin-Simmons University"|2016|"Non-BEP"|0|0|4|90|0|0|9|9|0.1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|2|0|0|0|0|0|0|4|2|17|3|1|6|2|45|0|0|1|0
"685"|"Houston Baptist University"|2016|"Non-BEP"|0|0|46|38|0|1|4|5|0.105263157894737|0|0|0|0|0|0|0|0|0|0|0|0|3|10|2|3|23|1|0|1|0|2|0|0|0|2|10|0|0|1|2|19|0|0|0|0
"686"|"Jarvis Christian College"|2016|"Non-BEP"|0|0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|0|0|1|0
"687"|"Lamar University"|2016|"Non-BEP"|0|0|38|162|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|5|1|1|19|3|0|2|1|2|0|1|5|10|33|8|2|4|4|81|2|6|7|0
"688"|"LeTourneau University"|2016|"Non-BEP"|0|0|28|118|0|3|2|5|0.0169491525423729|0|0|0|0|0|0|0|0|0|0|0|0|0|6|1|1|14|0|0|0|2|0|1|0|2|0|46|4|2|2|0|59|0|0|1|0
"689"|"Lubbock Christian University"|2016|"Non-BEP"|0|0|8|108|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|1|0|1|1|1|0|6|8|26|4|4|3|0|54|1|0|1|1
"690"|"McMurry University"|2016|"Non-BEP"|0|0|20|52|0|0|1|1|0.0192307692307692|0|0|0|0|0|0|0|0|0|0|0|0|2|1|0|0|10|2|0|1|3|1|0|0|4|3|11|1|1|2|0|26|0|1|2|0
"691"|"Midwestern State University"|2016|"Non-BEP"|0|0|6|152|0|0|4|4|0.0263157894736842|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|2|0|0|1|0|0|4|6|31|5|6|2|10|76|0|1|7|0
"692"|"Our Lady of the Lake University"|2016|"Non-BEP"|0|0|16|60|0|0|1|1|0.0166666666666667|0|0|0|0|0|0|0|0|0|0|0|0|0|4|0|4|8|0|0|0|0|0|0|0|2|0|21|1|1|0|4|30|0|0|0|0
"693"|"Paul Quinn College"|2016|"Non-BEP"|0|0|2|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|2|0|0|0|0|2|0|0|0|0
"694"|"Rice University"|2016|"Non-BEP"|0|0|10|4|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|5|1|0|0|1|1|0|0|1|0|0|1|0|0|0|2|0|0|0|0
"695"|"Sam Houston State University"|2016|"Non-BEP"|0|0|60|1194|0|1|157|158|0.131490787269682|0|0|0|0|0|0|0|0|0|0|0|0|2|8|3|1|30|4|1|1|3|2|4|0|32|42|223|36|3|20|32|597|29|3|20|0
"696"|"Southern Methodist University"|2016|"Non-BEP"|0|0|326|48|0|10|2|12|0.0416666666666667|0|0|0|0|0|0|0|0|0|0|0|0|1|81|19|0|163|15|0|1|20|16|0|0|5|7|6|3|0|1|0|24|0|0|0|0
"697"|"St Edwards University"|2016|"Non-BEP"|0|0|2|82|0|0|7|7|0.0853658536585366|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|2|1|16|2|0|1|9|41|0|0|3|0
"698"|"St Marys University"|2016|"Non-BEP"|0|0|2|46|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|1|4|9|2|2|2|0|23|0|1|2|0
"699"|"Stephen F Austin State University"|2016|"Non-BEP"|0|0|34|730|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|4|2|1|17|1|3|0|1|1|3|0|17|46|167|18|5|13|67|365|5|0|27|0
"700"|"Sul Ross State University - Alpine"|2016|"Non-BEP"|0|0|6|20|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|1|0|3|0|0|0|0|0|0|0|0|0|3|1|0|2|0|10|1|0|3|0
"701"|"Texas A&M University - Central Texas"|2016|"Non-BEP"|0|0|62|168|0|6|31|37|0.18452380952381|0|0|0|0|0|0|0|0|0|0|0|0|0|16|0|3|31|4|0|0|1|1|0|0|2|0|32|3|0|9|7|84|0|0|0|0
"702"|"Texas A&M University - Corpus Christi"|2016|"Non-BEP"|0|0|48|302|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|8|2|3|24|5|0|0|2|4|0|0|7|13|72|12|6|1|18|151|0|0|22|0
"703"|"Texas Lutheran University"|2016|"Non-BEP"|0|0|8|56|0|0|2|2|0.0357142857142857|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|4|1|1|0|0|0|0|0|0|6|13|4|0|1|0|28|0|0|2|0
"704"|"Texas State University"|2016|"Non-BEP"|0|0|58|2116|0|7|325|332|0.15359168241966|0|0|0|0|0|0|0|0|0|0|0|0|3|6|1|1|29|3|0|1|5|1|1|0|67|88|358|44|14|31|44|1058|15|3|69|0
"705"|"Texas Tech University"|2016|"BEP"|0|0|16|1128|0|0|143|143|0.12677304964539|0|0|0|0|0|0|0|0|0|0|0|0|3|2|1|0|8|0|0|0|0|0|2|0|15|32|269|12|4|7|55|564|22|0|5|0
"706"|"Texas Wesleyan University"|2016|"Non-BEP"|0|0|80|74|0|10|7|17|0.0945945945945946|0|0|0|0|0|0|0|0|0|0|0|0|0|22|1|0|40|1|0|0|0|6|0|0|1|2|20|0|1|3|0|37|0|3|0|0
"707"|"Texas Womans University"|2016|"BEP"|0|0|146|686|0|16|107|123|0.15597667638484|0|0|0|0|0|0|0|0|0|0|0|0|4|28|2|14|73|2|0|0|2|2|3|0|11|19|142|20|3|1|21|343|3|0|16|0
"708"|"Trinity University"|2016|"Non-BEP"|0|0|42|0|0|3|0|3|NA|0|0|0|0|0|0|0|0|0|0|0|0|1|7|2|1|21|4|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"709"|"University of Dallas"|2016|"Non-BEP"|0|0|4|26|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|2|1|0|0|0|0|0|0|1|1|9|1|0|1|0|13|0|0|0|0
"710"|"University of Houston"|2016|"Non-BEP"|0|0|40|710|0|0|21|21|0.0295774647887324|0|0|0|0|0|0|0|0|0|0|0|0|1|9|0|2|20|1|0|2|4|1|0|0|21|41|172|35|26|23|13|355|0|3|0|0
"711"|"University of Houston-Clear Lake"|2016|"Non-BEP"|0|0|30|434|0|1|43|44|0.0990783410138249|0|0|0|0|0|0|0|0|0|0|0|0|0|5|2|1|15|2|0|0|3|1|0|0|4|9|119|6|6|7|20|217|0|0|0|3
"712"|"University of Houston-Downtown"|2016|"Non-BEP"|0|0|14|626|0|2|112|114|0.178913738019169|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|7|1|0|0|1|0|0|0|0|0|190|7|2|2|0|313|0|0|0|0
"713"|"University of Houston-Victoria"|2016|"Non-BEP"|0|0|14|220|0|0|6|6|0.0272727272727273|0|0|0|0|0|0|0|0|0|0|0|0|0|4|1|0|7|1|0|0|1|0|0|0|4|0|91|1|1|2|4|110|1|0|0|0
"714"|"University of Mary Hardin-Baylor"|2016|"Non-BEP"|0|0|46|154|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9|1|2|23|1|0|0|4|5|0|0|4|8|34|3|1|4|8|77|0|0|15|0
"715"|"University of St Thomas"|2016|"Non-BEP"|0|0|14|52|0|0|6|6|0.115384615384615|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|0|7|1|0|0|1|0|0|0|1|0|17|1|0|0|1|26|0|0|0|0
"716"|"University of Texas - Arlington"|2016|"BEP"|0|0|12|728|0|3|100|103|0.137362637362637|0|0|0|0|0|0|0|0|0|0|0|0|0|3|0|0|6|0|0|0|0|0|0|0|63|21|110|29|12|14|0|364|0|0|14|1
"717"|"University of Texas - Austin"|2016|"Non-BEP"|0|0|50|992|0|7|140|147|0.141129032258065|0|0|0|0|0|0|0|0|0|0|0|0|1|2|1|0|25|3|2|1|5|3|0|0|21|44|183|19|22|25|31|496|0|6|5|0
"718"|"University of Texas - Dallas"|2016|"BEP"|0|0|64|160|0|0|4|4|0.025|0|0|0|0|0|0|0|0|0|0|0|0|0|6|3|0|32|7|0|0|4|12|0|0|11|0|35|8|15|7|0|80|0|0|0|0
"719"|"University of Texas - Permian Basin"|2016|"Non-BEP"|0|0|238|132|0|3|3|6|0.0227272727272727|0|0|0|0|0|0|0|0|0|0|0|0|4|53|11|12|119|9|4|4|8|9|2|0|8|5|31|8|1|2|0|66|0|4|4|0
"720"|"University of Texas - Rio Grande Valley"|2016|"Non-BEP"|0|0|2|936|0|1|62|63|0.0662393162393162|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|19|47|198|34|21|16|31|468|0|9|31|0
"721"|"University of Texas - San Antonio"|2016|"Non-BEP"|0|0|130|702|0|9|38|47|0.0541310541310541|0|0|0|0|0|0|0|0|0|0|0|0|2|21|4|9|65|9|1|2|4|4|0|0|34|16|174|28|8|12|19|351|0|3|19|0
"722"|"University of Texas - Tyler"|2016|"Non-BEP"|0|0|30|268|0|0|9|9|0.0335820895522388|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|15|3|1|1|4|4|0|1|21|2|75|8|8|0|5|134|0|1|5|0
"723"|"University of the Incarnate Word"|2016|"Non-BEP"|0|0|12|86|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|0|0|6|1|0|0|0|0|0|0|2|5|27|1|0|2|0|43|0|0|6|0
"724"|"Wayland Baptist University"|2016|"Non-BEP"|0|0|40|56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|0|1|20|3|2|0|3|1|1|0|1|3|13|2|4|1|2|28|0|0|2|0
"725"|"Arlington Baptist University"|2016|"Non-BEP"|0|0|0|14|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|0|4|0|1|0|0|7|0|0|0|0
"726"|"Dallas Christian College"|2016|"Non-BEP"|0|0|0|2|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0
"727"|"Howard Payne University"|2016|"Non-BEP"|0|0|0|62|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2|4|17|1|1|3|0|31|0|0|3|0
"728"|"Southwestern Assemblies of God Univ"|2016|"Non-BEP"|0|0|0|38|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|9|1|0|1|0|19|0|0|3|0
"729"|"Southwestern University"|2016|"Non-BEP"|0|0|0|46|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|7|2|0|2|7|23|0|1|1|0
"730"|"Texas Christian University"|2016|"Non-BEP"|0|0|0|208|0|0|3|3|0.0144230769230769|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|6|18|58|3|1|2|8|104|0|1|4|0
"731"|"Texas College"|2016|"Non-BEP"|0|0|0|12|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|6|0|0|5|0
"732"|"Texas Southern University"|2016|"Non-BEP"|0|0|0|66|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4|1|17|0|1|2|1|33|0|0|7|0
"733"|"Wiley College"|2016|"Non-BEP"|0|0|0|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|2|0|3|0|0|0|0
"734"|"240 Certification"|2015|"Non-BEP"|0|44|0|0|4|0|0|4|NA|3|8|0|3|3|22|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"735"|"A Career in Education-ACP"|2015|"Non-BEP"|0|40|0|0|0|0|0|0|NA|0|14|0|0|0|20|0|0|1|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"736"|"A Career in Teaching-EPP (Corpus Christi"|2015|"Non-BEP"|0|122|0|0|0|0|0|0|NA|5|24|4|2|2|61|7|0|5|7|2|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"737"|"A Career in Teaching-EPP (McAllen)"|2015|"Non-BEP"|0|108|0|0|7|0|0|7|NA|7|19|5|3|4|54|0|3|3|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"738"|"A+ Texas Teachers"|2015|"Non-BEP"|0|13234|0|0|960|0|0|960|NA|499|2389|312|352|262|6617|266|274|305|787|123|88|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"739"|"ACT-Houston"|2015|"Non-BEP"|0|962|0|0|72|0|0|72|NA|26|202|18|24|24|481|27|17|19|39|7|6|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
"740"|"ACT-Houston at Dallas"|2015|"Non-BEP"|0|616|0|0|48|0|0|48|NA|10|153|7|9|10|308|9|13|19|24|5|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
